Date,Open,High,Low,Close,Adj. Close,Change,Volume
2015-03-03,126.89,127.37,126.38,126.41,93.785,-0.36%,8599000
2015-03-04,126.94,127.04,126.16,126.45,93.815,+0.03%,6478900
2015-03-05,126.53,126.88,125.90,126.29,93.696,-0.13%,6045000
2015-03-06,124.67,124.83,122.97,123.50,91.626,-2.21%,20022900
2015-03-09,124.68,124.87,124.13,124.64,92.472,+0.92%,8889100
2015-03-10,125.97,126.44,125.76,126.28,93.689,+1.32%,9277900
2015-03-11,126.26,127.46,126.12,127.20,94.371,+0.73%,6663100
2015-03-12,128.20,128.20,126.72,127.11,94.305,-0.07%,10295900
2015-03-13,126.76,127.59,126.49,126.72,94.015,-0.31%,7247200
2015-03-16,127.94,128.15,127.27,127.94,94.920,+0.96%,6374600
2015-03-17,128.55,129.11,128.28,129.00,95.707,+0.83%,6314000
2015-03-18,129.91,131.53,128.61,131.49,97.554,+1.93%,13981900
2015-03-19,131.20,131.62,130.27,130.82,97.057,-0.51%,9543800
2015-03-20,131.22,131.70,131.14,131.51,97.569,+0.53%,5953800
2015-03-23,131.70,131.75,130.99,131.35,97.450,-0.12%,5555500
2015-03-24,131.83,132.64,131.48,132.62,98.393,+0.97%,6713000
2015-03-25,132.72,132.76,131.46,131.50,97.562,-0.84%,5635800
2015-03-26,131.05,131.14,129.18,129.45,96.041,-1.56%,9536300
2015-03-27,130.03,131.13,129.98,131.06,97.235,+1.24%,7907900
2015-03-30,130.90,131.00,130.09,130.41,96.753,-0.50%,7010600
2015-03-31,130.24,130.96,129.91,130.69,96.961,+0.21%,6844300
2015-04-01,131.33,132.48,131.30,132.13,98.234,+1.10%,9273900
2015-04-02,131.93,131.97,130.61,130.73,97.193,-1.06%,6663400
2015-04-06,131.43,131.48,129.72,130.00,96.651,-0.56%,5923800
2015-04-07,130.23,131.22,129.85,131.09,97.461,+0.84%,4764900
2015-04-08,131.02,131.36,130.02,131.13,97.491,+0.03%,5378900
2015-04-09,130.87,130.92,129.13,129.43,96.227,-1.30%,6484200
2015-04-10,130.32,130.45,129.55,129.62,96.368,+0.15%,4843000
2015-04-13,129.53,129.98,129.39,129.80,96.502,+0.14%,4010600
2015-04-14,131.31,131.86,130.48,130.72,97.186,+0.71%,6075500
2015-04-15,131.05,131.27,130.32,130.61,97.104,-0.08%,4425200
2015-04-16,130.83,130.86,129.41,129.96,96.621,-0.50%,7085500
2015-04-17,129.77,131.70,129.70,131.45,97.729,+1.15%,7268800
2015-04-20,130.94,131.01,129.93,130.29,96.866,-0.88%,4949400
2015-04-21,130.23,130.45,129.56,129.70,96.428,-0.45%,4563800
2015-04-22,129.50,129.55,127.54,127.72,94.956,-1.53%,9707600
2015-04-23,127.80,128.85,127.61,128.27,95.365,+0.43%,6843400
2015-04-24,128.64,129.43,128.59,129.07,95.959,+0.62%,4773000
2015-04-27,129.07,129.50,128.37,129.07,95.959,+0.00%,4334900
2015-04-28,128.17,128.74,127.26,127.29,94.636,-1.38%,7464300
2015-04-29,125.81,126.44,125.28,125.73,93.476,-1.23%,11554800
2015-04-30,125.04,126.17,124.51,125.95,93.640,+0.17%,12876000
2015-05-01,124.73,125.04,123.69,124.00,92.379,-1.55%,12378500
2015-05-04,124.30,124.53,122.72,122.83,91.508,-0.94%,9144700
2015-05-05,122.86,123.03,121.69,122.66,91.381,-0.14%,13935500
2015-05-06,121.99,122.06,120.37,120.56,89.816,-1.71%,14355000
2015-05-07,121.43,122.57,121.35,122.18,91.023,+1.34%,11933700
2015-05-08,123.38,123.55,122.31,122.51,91.269,+0.27%,11716400
2015-05-11,121.62,121.65,119.50,119.53,89.049,-2.43%,13738600
2015-05-12,119.14,120.63,118.82,119.84,89.280,+0.26%,15861700
2015-05-13,120.65,120.72,118.64,118.88,88.565,-0.80%,15760000
2015-05-14,118.92,119.83,118.69,119.20,88.803,+0.27%,9128400
2015-05-15,120.38,121.91,120.29,121.59,90.584,+2.01%,12630600
2015-05-18,120.32,120.43,119.47,119.55,89.064,-1.68%,10208300
2015-05-19,118.27,119.84,118.13,118.49,88.274,-0.89%,8435300
2015-05-20,118.77,119.45,118.18,118.69,88.423,+0.17%,7789700
2015-05-21,119.58,120.61,119.45,120.35,89.660,+1.40%,11760700
2015-05-22,120.65,120.75,119.80,120.40,89.697,+0.04%,5417900
2015-05-26,120.84,122.55,120.74,122.46,91.232,+1.71%,10469700
2015-05-27,122.18,122.86,121.61,122.74,91.440,+0.23%,6490300
2015-05-28,122.50,123.03,122.22,122.44,91.217,-0.24%,6237600
2015-05-29,123.23,123.57,122.51,122.71,91.418,+0.22%,7912000
2015-06-01,122.11,122.38,120.69,121.13,90.436,-1.29%,13108100
2015-06-02,120.17,120.26,119.11,119.44,89.174,-1.40%,10076200
2015-06-03,118.39,118.60,117.20,117.52,87.740,-1.61%,14810900
2015-06-04,118.26,119.29,118.14,119.05,88.883,+1.30%,10859300
2015-06-05,117.84,118.57,117.38,117.60,87.800,-1.22%,11200200
2015-06-08,117.96,118.16,117.37,117.47,87.703,-0.11%,5334000
2015-06-09,117.06,117.13,116.11,116.54,87.009,-0.79%,12393900
2015-06-10,115.92,116.13,115.26,115.52,86.247,-0.88%,12183600
2015-06-11,116.56,117.97,116.24,117.95,88.061,+2.10%,13849300
2015-06-12,117.59,119.07,117.55,117.95,88.061,+0.00%,7863100
2015-06-15,118.89,119.06,117.74,118.14,88.203,+0.16%,8194200
2015-06-16,118.61,119.08,117.94,119.07,88.898,+0.79%,7046400
2015-06-17,118.50,118.63,117.25,118.15,88.211,-0.77%,13626100
2015-06-18,117.37,117.74,116.75,117.57,87.778,-0.49%,10123300
